"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,196721,"North Columbia","SC","Columbia","Richland","Columbia",3747,56600,0.0125223613595707,0.0216606498194946,0.0540037243947858,-0.00725966869680494,-0.0214430390887715,"2007-03","2007-Q1",71900,-0.212795549374131,"2000-01"
2017-05-31,275820,"University Park","FL","Jacksonville","Duval","Jacksonville",3748,165900,0.0146788990825688,0.0414312617702448,0.121703853955375,0.0819402059516758,-0.0154239634624235,"2006-11","2006-Q4",200200,-0.171328671328671,"2005-05"
2017-05-31,269049,"Lake Ridge","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",3749,397100,0.00659062103929024,0.00940518556176919,0.125247945593653,0.108087717659478,,"2017-05","2017-Q2",397100,0,"2017-05"
2017-05-31,270526,"Tijeras Arroyo","NM","Albuquerque","Bernalillo","Albuquerque",3750,279600,-0.00142857142857143,-0.00674955595026643,0.0692160611854685,0.0146418325346271,-0.00354230063904459,"2006-11","2006-Q4",319200,-0.12406015037594,"2006-05"
2017-05-31,29804,"Strathmore","NJ","New York","Monmouth","Matawan",3751,370700,0.00135062128579146,0.0081588251291814,0.0265854333979507,0.0327069940275719,-0.00501146817270204,"2006-07","2006-Q3",397900,-0.0683588841417442,"2005-03"
2017-05-31,155167,"North Dennis","MA","Cape Cod","Barnstable","Dennis",3752,487700,0.00806118230673832,0.024795125026266,0.0533477321814255,0.0266994451150593,0.00215784868208924,"2017-05","2017-Q2",487700,0,"2017-05"
2017-05-31,276198,"Barrio Hollywood","AZ","Tucson","Pima","Tucson",3753,128100,0.0158604282315623,0.0448613376835237,0.145796064400716,0.105730999776128,-0.0149998738158074,"2006-06","2006-Q2",151700,-0.155570204350692,"2005-05"
2017-05-31,276377,"Hillcrest","OH","Dayton","Montgomery","Dayton",3754,54900,0.0319548872180451,0.0517241379310345,0.12962962962963,0.00593293401754624,-0.0299369982463166,"2004-11","2004-Q4",77500,-0.291612903225806,
2017-05-31,275207,"Riverside Rancho","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Glendale",3755,667000,-0.00343642611683849,-0.00149700598802395,0.0619328132462984,0.111030349230494,0.0129966332973968,"2017-03","2017-Q1",671000,-0.00596125186289121,"2017-02"
2017-05-31,415900,"Indian Springs","OH","Columbus","Franklin","Columbus",3756,287500,-0.00312066574202497,-0.00450138504155125,0.119548286604361,0.0736743048542539,0.0338463188486671,"2017-03","2017-Q1",289200,-0.00587828492392808,"2017-02"
2017-05-31,416092,"Mapleton Hill","CO","Boulder","Boulder","Boulder",3757,940300,0.00127781918858482,0.0312568545733714,0.114627785680417,0.105489295234204,0.0515703221882333,"2017-05","2017-Q2",940300,0,"2017-05"
2017-05-31,273318,"Collins Garden","TX","San Antonio","Bexar","San Antonio",3758,81400,0.0264817150063052,0.0752972258916777,0.0985155195681511,0.0576692005283517,0.0106745560545491,"2017-05","2017-Q2",81400,0,"2017-05"
2017-05-31,342784,"Lakeshore","CO","Denver","Arapahoe","Aurora",3759,345100,0.00641586468358122,0.0264723378941106,0.0907079646017699,0.115389194889452,0.0395714756131524,"2017-05","2017-Q2",345100,0,"2017-05"
2017-05-31,276058,"Whiteoak","NC","Charlotte","Mecklenburg","Charlotte",3760,347300,0.00900639163277164,0.0229749631811487,0.0637059724349158,0.0609195558403546,0.0147145290123705,"2017-05","2017-Q2",347300,0,"2017-05"
2017-05-31,274137,"Jefferson Park","AZ","Tucson","Pima","Tucson",3761,228500,-0.0125324114088159,-0.0358649789029536,0.0768143261074458,0.0537172092688267,-0.00934770885955971,"2006-04","2006-Q2",261000,-0.124521072796935,"2005-05"
2017-05-31,342707,"Vista del Norte","NM","Albuquerque","Bernalillo","Albuquerque",3762,244800,0.0119884249689955,0.0403739906502337,0.132284921369103,0.0456822718606316,0.00573220797344276,"2017-05","2017-Q2",244800,0,"2017-05"
2017-05-31,343593,"Prairie Hills","WI","Madison","Dane","Madison",3763,216200,0.00324825986078886,0.0212564950401512,0.0974619289340101,0.0486396174226356,0.00985718977910111,"2017-05","2017-Q2",216200,0,"2017-05"
2017-05-31,270493,"SE Heights","NM","Albuquerque","Bernalillo","Albuquerque",3764,265600,0.0118095238095238,0.0290585044556373,0.053968253968254,0.0367940006572356,0.00810599783782551,"2017-05","2017-Q2",265600,0,"2017-05"
2017-05-31,276516,"Poncey-Highland","GA","Atlanta","Fulton","Atlanta",3765,276900,-0.00252161383285303,-0.0149413020277481,0.05125284738041,0.121173425903186,0.0181129466600725,"2017-02","2017-Q1",281100,-0.0149413020277481,"2017-01"
2017-05-31,272096,"Fernwood","WI","Milwaukee","Milwaukee","Milwaukee",3766,213700,0.022488038277512,0.0506391347099312,0.131286394917946,0.0730671943837011,0.0207057824123043,"2017-05","2017-Q2",213700,0,"2017-05"
2017-05-31,272919,"Bellemeade","VA","Richmond","Richmond City","Richmond",3767,60400,-0.00983606557377049,0.0254668930390492,0.118518518518519,0.0360418157641731,-0.017003937331289,"2006-08","2006-Q3",75000,-0.194666666666667,"2004-11"
2017-05-31,271632,"West Congress","TX","Austin","Travis","Austin",3768,286100,-0.00625217089267107,0.0335982658959538,0.106341840680588,0.125092387497727,0.0668432271547204,"2017-04","2017-Q2",287900,-0.00625217089267107,"2017-04"
2017-05-31,270390,"Eldorado Heights","NM","Albuquerque","Bernalillo","Albuquerque",3769,230200,0.0114235500878735,0.0203900709219858,0.0889309366130558,0.0428905591173516,0.00197613122521889,"2007-10","2007-Q4",235200,-0.0212585034013605,"2007-07"
2017-05-31,274740,"North Rosslyn","VA","Washington","Arlington","Arlington",3770,789100,0.000507163687080005,0.00547910295616718,0.0192456729527254,0.0235510498933615,0.0191899974136434,"2017-05","2017-Q2",789100,0,"2017-05"
2017-05-31,269553,"Sunset","ID","Boise City","Ada","Boise",3771,205100,0.0260130065032516,0.0534155110426297,0.127542605827378,0.112972748422975,-0.0000974611450093033,"2007-07","2007-Q3",206500,-0.00677966101694915,"2007-05"
2017-05-31,416317,"University Park Estates","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",3772,779200,-0.000769428058476532,0.00244435867747331,0.03232644409115,0.0546791840710312,0.00581576358124503,"2017-04","2017-Q2",779800,-0.000769428058476532,"2017-03"
2017-05-31,272253,"Southgate","WI","Milwaukee","Milwaukee","Milwaukee",3773,111200,0.0192483959670028,0.0590476190476191,0.140512820512821,0.0355035263627703,-0.0253816361938406,"2006-04","2006-Q2",146600,-0.241473396998636,"2003-07"
2017-05-31,268607,"Woodbine","CA","Sacramento","Sacramento","Sacramento",3774,231900,0.00651041666666667,0.034805890227577,0.0786046511627907,0.164486500854966,-0.0146209870855762,"2006-04","2006-Q2",292700,-0.207721216262385,"2004-08"
2017-05-31,269891,"Poppleton","MD","Baltimore","Baltimore City","Baltimore",3775,92700,-0.00643086816720257,-0.0252365930599369,-0.00643086816720257,0.0189372926220335,,"2016-09","2016-Q3",100900,-0.0812685827552032,"2016-05"
2017-05-31,422867,"Ryan Place","TX","Dallas-Fort Worth","Tarrant","Fort Worth",3776,260200,0.00696594427244582,0.0479258960934354,0.17897598550068,0.08860305131727,0.0549508648932906,"2017-05","2017-Q2",260200,0,"2017-05"
2017-05-31,274185,"Kimberline","AL","Mobile","Mobile","Mobile",3777,124700,0.00160642570281125,0.0146460537021969,0.0452640402347024,0.0353830099234089,-0.00521985430236038,"2008-09","2008-Q3",135400,-0.0790251107828656,"2006-05"
2017-05-31,273032,"Briarwood","AR","Little Rock","Pulaski","Little Rock",3778,141100,-0.00563777307963354,-0.0139762403913347,0.0195086705202312,0.0171485924406238,0.00178927605779977,"2017-02","2017-Q1",143100,-0.0139762403913347,"2016-12"
2017-05-31,274276,"Las Palmas","TX","El Paso","El Paso","El Paso",3779,154600,0,0.0038961038961039,0.00651041666666667,-0.00307619263270131,-0.00880755301319169,"2007-04","2007-Q2",169600,-0.0884433962264151,"2006-08"
2017-05-31,269936,"Woodmere","MD","Baltimore","Baltimore City","Baltimore",3780,91500,-0.00866738894907909,-0.0615384615384615,0.0397727272727273,0.0044298523152948,-0.00884378301665256,"2008-05","2008-Q2",116500,-0.214592274678112,"2006-08"
2017-05-31,273988,"Highland","CA","San Francisco","Alameda","Oakland",3781,362500,-0.00137741046831956,0.0137024608501119,0.16709594333548,0.214127387167496,,"2017-04","2017-Q2",363000,-0.00137741046831956,"2017-04"
2017-05-31,270303,"Northside","MT","Missoula","Missoula","Missoula",3782,175800,-0.00227014755959137,-0.0145739910313901,0.00342465753424658,0.0325269867850833,0.0077120389268106,"2009-06","2009-Q2",214500,-0.18041958041958,"2008-09"
2017-05-31,275433,"South Garden","VA","Richmond","Richmond City","Richmond",3783,113900,0.0178731009830206,0.0664794007490637,0.198947368421053,0.0737524469535669,-0.000786751691697507,"2008-02","2008-Q1",116700,-0.0239931448157669,"2007-04"
2017-05-31,112272,"Lehi","AZ","Phoenix","Maricopa","Mesa",3784,419600,0.00454871917644242,0.0154888673765731,0.0201799173352784,0.0550331103762283,-0.018665585534144,"2007-01","2007-Q1",519700,-0.192611121801039,"2005-06"
2017-05-31,270156,"Sheridan","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3785,207200,0.00876338851022395,0.0237154150197628,0.140341221794166,0.109933419399873,0.011233464497616,"2017-05","2017-Q2",207200,0,"2017-05"
2017-05-31,150474,"Wilder Park","KY","Louisville/Jefferson County","Jefferson","Louisville",3786,81100,-0.0157766990291262,-0.0368171021377672,0.0226986128625473,0.0475191622618383,0.0208165251515255,"2017-02","2017-Q1",84200,-0.0368171021377672,"2016-08"
2017-05-31,276080,"Williamsburg","VA","Washington","Arlington","Arlington",3787,883000,-0.00237261326403796,-0.00931224054751487,0.0293774772674283,0.0364995064933351,0.0238478512364722,"2017-02","2017-Q1",891300,-0.00931224054751487,"2017-01"
